id,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_verifications_email,host_verifications_phone,host_verifications_reviews,host_verifications_facebook,host_verifications_government_id,calculated_host_listings_count,host_seniority
70,within_an_hour,100.0,1,1,0,1,1,1,1,0,1,3054
71,within_an_hour,100.0,0,1,1,1,1,1,0,1,3,3080
72,within_an_hour,97.0,0,1,0,1,1,1,0,1,9,2891
73,within_an_hour,100.0,0,1,1,1,1,1,1,1,3,3196
74,within_a_few_hours,100.0,0,1,1,1,1,1,1,1,1,3036
75,within_a_day,70.0,0,1,0,1,1,1,1,0,1,3037
77,a_few_days_or_more,33.0,0,1,1,1,1,1,1,1,1,3028
78,within_an_hour,90.0,0,1,1,1,1,1,1,1,2,3151
79,within_an_hour,97.0,0,1,0,1,1,1,0,1,9,2891
80,within_a_day,100.0,0,1,0,1,1,1,0,1,1,2994
81,within_a_day,100.0,0,1,0,1,1,1,0,1,1,2990
82,within_an_hour,100.0,1,1,1,1,1,1,1,1,4,2994
83,within_an_hour,100.0,1,1,0,1,1,1,1,1,1,2988
84,within_an_hour,100.0,1,1,1,1,1,1,1,1,4,2994
85,within_a_few_hours,100.0,0,1,0,1,1,1,0,1,1,2979
86,within_an_hour,100.0,0,1,0,1,1,1,0,1,31,3160
87,within_an_hour,100.0,0,1,0,1,1,1,0,1,1,2961
88,within_an_hour,100.0,0,1,1,1,1,1,0,1,8,3122
89,within_an_hour,100.0,0,1,1,1,1,1,0,1,8,3122
90,within_a_few_hours,100.0,1,1,1,1,1,1,0,1,1,2958
91,within_an_hour,100.0,1,1,0,1,1,1,0,0,1,2957
92,,,0,1,1,1,1,1,1,1,2,2951
93,within_an_hour,100.0,0,1,1,1,1,1,0,1,24,3084
94,within_a_few_hours,96.0,0,1,1,1,1,1,1,1,7,3105
95,within_an_hour,100.0,0,1,1,1,1,1,0,1,4,2943
96,within_an_hour,100.0,0,1,1,1,1,1,0,1,4,2943
97,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,2,2941
98,within_an_hour,92.0,0,1,0,1,1,1,0,1,12,2554
99,within_an_hour,100.0,0,1,1,1,1,1,1,1,1,2921
100,within_an_hour,100.0,1,1,0,1,1,1,0,1,1,2920
101,within_a_few_hours,88.0,0,1,1,1,1,1,0,1,4,3053
102,within_a_day,88.0,1,1,0,1,1,1,0,0,1,2910
103,within_an_hour,80.0,0,1,1,1,1,1,0,1,26,2907
104,within_an_hour,100.0,0,1,1,1,1,1,0,1,8,3122
105,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2896
106,within_an_hour,90.0,1,1,0,1,1,1,1,1,5,2894
107,within_a_day,82.0,0,1,0,1,1,1,1,1,2,2894
108,within_an_hour,100.0,1,1,1,1,1,1,1,1,1,2894
109,within_an_hour,100.0,1,1,1,1,1,1,0,1,2,2894
110,within_an_hour,84.0,0,1,0,1,1,1,0,1,9,2894
111,,,0,1,0,1,1,1,0,1,1,2894
112,within_a_day,75.0,1,1,1,1,1,1,1,1,2,2893
113,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,2893
114,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2893
115,within_a_day,82.0,0,1,0,1,1,1,1,1,2,2894
116,within_a_day,100.0,0,1,0,1,1,1,0,0,1,2898
117,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,2,2896
118,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2889
119,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,1,2889
120,within_an_hour,100.0,0,1,1,1,1,1,0,1,8,3122
121,within_a_few_hours,88.0,0,1,1,1,1,1,0,1,4,3053
122,within_a_few_hours,88.0,0,1,1,1,1,1,0,1,4,3053
123,within_a_few_hours,88.0,0,1,1,1,1,1,0,1,4,3053
124,within_a_day,100.0,0,1,1,1,1,1,1,1,2,2887
125,within_a_day,100.0,0,1,1,1,1,1,1,1,2,2887
126,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,2879
127,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,2879
128,,,0,1,1,1,1,1,1,1,2,2951
129,within_a_few_hours,90.0,0,1,1,1,1,1,0,1,8,2877
130,within_an_hour,100.0,0,1,1,1,1,1,0,1,3,2891
131,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2871
132,,,1,1,0,1,1,1,1,1,1,2866
133,within_a_few_hours,90.0,0,1,1,1,1,1,0,1,8,2877
134,within_an_hour,84.0,0,1,0,1,1,1,0,1,9,2894
135,within_an_hour,100.0,0,1,0,1,1,1,0,1,1,2864
136,within_a_few_hours,91.0,0,1,0,1,1,1,0,1,4,2863
137,within_a_few_hours,90.0,0,1,1,1,1,1,0,1,8,2877
138,within_a_day,80.0,1,1,1,1,1,1,0,1,3,2863
139,within_a_few_hours,100.0,0,1,0,1,1,1,1,0,2,2862
140,,,0,1,1,1,1,1,1,1,1,2861
141,within_an_hour,100.0,1,1,0,1,1,1,0,0,1,2851
142,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
143,within_a_few_hours,100.0,0,1,0,1,1,1,0,1,1,2825
144,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
145,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
146,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
147,within_a_few_hours,90.0,0,1,1,1,1,1,0,1,8,2877
148,within_a_few_hours,90.0,0,1,1,1,1,1,0,1,8,2877
149,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
150,within_a_few_hours,100.0,1,1,1,1,1,1,1,1,1,2844
151,,,0,1,1,1,1,1,1,1,1,2852
152,within_a_few_hours,100.0,1,1,1,1,1,1,0,1,6,2841
153,within_a_few_hours,100.0,0,1,1,1,1,1,1,1,1,2839
154,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
155,,,0,1,1,1,1,1,1,1,1,2837
156,within_an_hour,99.0,0,1,0,1,1,1,0,1,5,2251
157,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,2893
158,within_a_day,100.0,0,1,1,1,1,1,0,1,2,2831
159,within_an_hour,90.0,1,1,1,1,1,1,0,1,1,2828
160,within_a_day,100.0,0,1,0,1,1,1,0,0,1,2965
161,within_an_hour,100.0,0,1,0,1,1,1,1,1,3,2826
162,within_a_day,70.0,0,1,0,1,1,1,0,0,1,2824
163,within_a_few_hours,96.0,0,1,1,1,1,1,1,1,7,3105
164,within_an_hour,100.0,0,1,1,1,1,1,0,1,4,2821
165,,,0,1,0,1,1,1,0,0,1,3012
166,within_an_hour,100.0,1,1,0,1,1,1,0,1,1,2815
167,within_a_few_hours,100.0,0,1,0,1,1,1,0,0,1,3154
168,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
169,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
170,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2806
171,,,0,1,0,1,1,1,0,0,1,2805
172,within_a_day,100.0,0,1,1,1,1,1,0,1,1,2805
173,within_a_few_hours,100.0,0,1,1,1,1,1,1,1,1,2803
174,within_an_hour,100.0,0,1,1,1,1,1,1,1,1,2803
175,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
176,within_an_hour,100.0,1,1,0,1,1,1,1,1,1,2802
177,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
178,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
180,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
181,within_an_hour,100.0,0,1,1,1,1,1,1,1,1,2797
182,,,0,1,1,1,1,1,0,1,1,2796
183,within_an_hour,94.0,0,1,1,1,1,1,0,1,55,2978
184,within_an_hour,100.0,1,1,0,1,1,1,0,1,1,2795
185,within_an_hour,100.0,0,1,1,1,1,1,1,1,4,2791
186,,,0,1,0,1,1,1,1,1,2,2791
187,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2789
188,,,0,1,1,1,1,1,0,1,1,2789
189,within_an_hour,100.0,1,1,1,1,1,1,1,1,4,2787
190,within_a_few_hours,100.0,1,1,1,1,1,1,1,1,1,2785
191,within_an_hour,100.0,1,1,0,1,1,1,0,1,1,2783
192,within_an_hour,100.0,1,1,1,1,1,1,1,1,1,2856
193,within_a_few_hours,100.0,1,1,1,1,1,1,0,1,3,2781
194,,,0,1,1,1,1,1,0,1,2,3610
195,within_an_hour,100.0,0,1,1,1,1,1,1,1,5,2777
196,within_an_hour,100.0,0,1,0,1,1,1,0,1,1,2777
197,within_a_few_hours,96.0,0,1,1,1,1,1,1,1,7,3105
198,within_an_hour,100.0,0,1,1,1,1,1,1,1,5,2777
199,,,0,1,0,1,1,1,1,0,1,3041
200,within_a_day,82.0,0,1,1,1,1,1,0,1,9,2774
201,,,0,1,0,1,1,0,0,0,4,2774
202,within_an_hour,100.0,1,1,1,1,1,1,0,1,11,2774
203,within_a_day,100.0,0,1,1,1,1,1,0,1,2,2907
204,within_a_few_hours,100.0,1,1,0,1,1,1,1,1,1,2773
205,,,0,1,0,1,1,1,1,0,1,2812
206,within_an_hour,100.0,1,1,1,1,1,1,1,1,1,3045
207,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2768
208,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,2773
209,within_an_hour,100.0,0,1,1,1,1,1,1,1,1,2768
210,within_a_day,80.0,0,1,0,1,1,1,0,1,2,2766
212,within_an_hour,100.0,1,1,0,1,1,1,0,0,2,2766
213,within_an_hour,100.0,0,1,1,1,1,1,0,1,3,2763
215,within_an_hour,100.0,0,1,0,1,1,1,0,0,2,3011
216,,,0,1,1,1,1,0,0,1,1,2761
217,,,0,1,0,1,1,1,1,0,1,2761
218,within_a_few_hours,100.0,0,1,0,1,0,1,1,0,1,2758
219,within_a_few_hours,100.0,1,1,0,1,1,1,1,1,1,2762
220,,,1,1,0,1,1,1,1,1,1,2763
221,within_a_few_hours,100.0,1,1,1,1,1,1,0,1,1,2758
222,within_an_hour,100.0,0,1,0,1,1,1,0,1,3,2754
223,within_an_hour,100.0,0,1,0,1,1,1,0,1,31,3160
224,within_an_hour,100.0,0,1,0,1,1,1,0,1,11,2893
225,within_a_few_hours,100.0,0,1,1,1,1,1,1,1,1,2751
226,,,0,1,0,1,1,1,1,0,2,2750
227,within_a_few_hours,100.0,1,1,0,0,1,1,1,1,1,2749
228,within_a_few_hours,90.0,0,1,1,1,1,1,1,1,1,2800
229,,,0,1,0,1,1,1,0,1,1,2899
230,within_an_hour,100.0,0,1,0,1,1,1,0,1,1,2804
231,within_an_hour,94.0,1,1,1,1,1,1,0,1,5,2744
232,,,0,1,0,1,1,1,0,0,1,2744
233,within_an_hour,100.0,0,1,0,1,1,1,1,1,1,2743
234,within_an_hour,99.0,1,1,1,1,1,1,0,0,21,2742
235,,,0,1,1,1,1,1,0,1,1,2774
236,,,0,1,1,1,1,1,0,1,1,2739
237,within_an_hour,100.0,1,1,1,1,1,1,1,1,1,2810
238,within_an_hour,100.0,1,1,1,1,1,1,0,1,2,2738
239,within_an_hour,93.0,0,1,0,1,1,1,0,1,5,3484
240,within_a_day,100.0,1,1,1,1,1,1,0,1,1,2735
241,within_an_hour,100.0,0,1,1,1,1,1,1,0,1,2761
242,,,0,1,0,1,1,1,1,0,1,2928
243,within_an_hour,100.0,0,1,1,1,1,1,0,1,9,2734
244,within_an_hour,100.0,0,1,1,1,1,1,0,1,4,2821
245,,,0,1,0,1,1,1,0,0,1,2731
246,within_an_hour,100.0,0,1,1,1,1,1,0,1,11,2731
247,within_an_hour,100.0,0,1,1,1,1,1,0,1,3,2731
248,within_an_hour,100.0,1,1,1,1,1,1,0,1,3,2751
249,,,0,1,0,1,1,1,0,0,1,2730
250,within_a_few_hours,90.0,0,1,0,1,1,0,0,1,2,2772
251,,,0,1,1,1,1,1,1,1,1,2729
252,within_an_hour,100.0,1,1,1,1,1,1,0,1,5,2728
253,,,0,1,0,1,1,1,1,1,1,2822
254,,,0,1,1,1,1,1,1,1,1,2725
255,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2724
256,within_an_hour,100.0,1,1,1,1,1,1,0,1,5,2728
257,,,0,1,1,1,1,1,1,1,1,2752
258,within_a_day,80.0,0,1,0,1,1,1,0,1,2,2766
259,within_a_few_hours,80.0,0,1,1,1,1,1,1,1,4,2718
260,,,0,1,0,1,1,1,1,0,1,2717
261,within_a_day,100.0,0,1,1,1,1,1,0,1,3,2709
262,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,3267
263,within_a_day,100.0,0,1,1,1,1,1,0,1,2,2702
264,within_an_hour,100.0,0,1,1,1,1,1,0,1,11,2731
265,within_an_hour,100.0,0,1,1,1,1,1,0,1,11,2731
266,within_a_few_hours,100.0,0,1,0,1,1,0,0,1,2,2708
267,,,1,1,1,1,1,1,0,1,1,2707
268,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2706
269,within_an_hour,100.0,1,1,1,1,1,1,1,1,1,3054
270,within_a_day,100.0,0,1,1,1,1,1,1,1,1,2706
271,within_a_few_hours,100.0,0,1,0,1,1,0,0,1,2,2708
272,within_an_hour,100.0,1,1,0,1,1,1,0,0,1,2987
273,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,2698
274,,,0,1,1,1,1,1,1,1,1,2696
275,within_a_day,90.0,0,1,1,1,1,1,0,1,2,2692
276,a_few_days_or_more,40.0,0,1,0,1,1,1,0,0,1,2688
277,within_an_hour,100.0,1,1,0,1,1,1,0,1,1,2699
278,within_a_day,70.0,0,1,1,1,1,1,1,1,1,2686
279,within_an_hour,100.0,0,1,1,1,1,1,1,1,4,2791
280,within_a_day,57.0,0,1,0,1,1,1,0,0,1,2684
281,,,0,1,1,1,1,1,0,1,1,2684
282,within_an_hour,100.0,0,1,0,1,1,1,0,1,15,2289
283,within_a_day,100.0,0,1,0,1,1,1,0,1,3,2683
284,,,0,1,0,1,0,0,0,0,1,2682
285,within_an_hour,100.0,0,1,0,1,1,1,0,1,1,2855
286,within_an_hour,100.0,0,1,0,1,1,1,0,1,6,2682
287,within_an_hour,97.0,0,1,0,1,1,1,0,1,9,2891
288,,,0,1,0,1,1,1,1,1,1,2695
289,,,0,1,1,1,1,1,1,1,3,3144
291,within_an_hour,100.0,1,1,0,1,1,1,1,1,9,2677
292,within_an_hour,100.0,0,1,0,1,1,1,1,1,1,2676
293,within_an_hour,100.0,1,1,0,1,1,1,1,1,9,2677
294,within_an_hour,100.0,0,1,0,1,1,1,0,1,1,2728
295,within_an_hour,100.0,0,1,0,1,1,1,0,0,2,2674
296,within_an_hour,100.0,1,1,0,1,1,0,0,1,1,2674
297,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2677
298,within_a_few_hours,90.0,0,1,1,1,1,1,0,1,8,2877
299,within_an_hour,100.0,0,1,0,1,1,1,1,1,6,2670
300,within_a_day,100.0,0,1,0,1,1,1,0,1,3,2683
301,within_an_hour,100.0,0,1,0,1,1,1,0,1,10,2677
302,,,0,1,0,1,1,1,1,0,2,2750
303,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2665
304,,,0,1,1,1,1,1,0,1,3,2665
305,within_an_hour,100.0,0,1,0,1,1,1,1,1,2,2665
306,within_an_hour,100.0,0,1,0,1,1,1,0,1,3,2754
307,within_an_hour,100.0,0,1,0,1,1,1,0,1,1,2661
308,within_an_hour,100.0,0,1,0,1,1,1,0,1,3,2754
309,within_a_day,80.0,0,1,0,1,1,1,1,1,2,2661
310,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2660
311,within_an_hour,100.0,1,1,1,1,1,1,1,1,1,2854
312,within_a_few_hours,100.0,1,1,1,1,1,1,1,1,1,2657
313,within_an_hour,100.0,0,1,0,1,1,1,1,1,1,2775
314,within_an_hour,100.0,1,1,1,1,1,1,1,1,4,2655
315,within_an_hour,100.0,0,1,1,1,1,1,1,0,1,2654
316,within_an_hour,90.0,0,1,0,1,1,1,1,1,4,3197
317,within_a_day,100.0,1,1,1,1,1,1,1,1,1,2928
318,within_an_hour,100.0,0,1,0,1,1,1,0,1,6,2650
319,within_an_hour,100.0,0,1,0,1,1,1,0,1,6,2650
320,within_an_hour,100.0,0,1,0,1,1,1,0,1,6,2650
321,within_a_few_hours,90.0,0,1,1,1,1,1,0,1,1,2790
322,within_a_few_hours,100.0,0,1,1,1,1,1,1,1,1,2657
323,within_a_few_hours,100.0,1,1,1,1,1,1,1,1,1,2648
324,within_a_day,50.0,0,1,0,1,1,1,0,0,1,2648
325,within_a_few_hours,100.0,0,1,0,1,1,1,0,1,1,2653
326,within_a_day,100.0,0,1,1,1,1,1,1,1,1,2814
327,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,2671
328,within_an_hour,100.0,0,1,0,1,1,1,0,1,6,2650
329,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,2893
330,within_a_day,97.0,1,1,1,1,1,1,0,1,3,2913
331,within_a_few_hours,91.0,0,1,0,1,1,1,0,1,4,2863
332,within_an_hour,100.0,1,1,0,1,1,1,0,0,3,3518
333,within_a_day,100.0,0,1,0,1,1,1,0,1,1,2635
334,within_an_hour,100.0,1,1,1,1,1,1,0,1,2,2641
335,within_a_day,89.0,0,1,1,1,1,1,1,1,1,3421
336,,,0,1,1,1,1,1,1,1,2,2687
337,,,0,1,1,1,1,1,1,1,1,2634
338,within_an_hour,100.0,1,1,0,1,1,1,0,1,1,2634
339,within_an_hour,100.0,0,1,1,1,1,1,1,1,5,2777
340,within_an_hour,100.0,1,1,1,1,1,1,0,1,2,2641
341,within_an_hour,80.0,0,1,1,1,1,1,0,1,26,2907
342,within_an_hour,100.0,0,1,0,1,1,1,0,1,31,3160
343,within_an_hour,100.0,1,1,0,1,1,1,0,1,6,2632
344,within_an_hour,100.0,0,1,1,1,1,1,1,1,5,2777
345,within_a_few_hours,100.0,1,1,0,1,1,1,0,1,1,2630
346,within_an_hour,100.0,0,1,0,1,1,1,0,0,1,3135
347,within_an_hour,100.0,1,1,0,1,1,1,0,1,4,2629
348,within_a_day,100.0,0,1,1,1,1,1,1,1,1,2762
349,within_an_hour,100.0,1,1,1,1,1,1,0,1,2,2628
350,within_an_hour,100.0,1,1,1,1,1,1,0,1,9,3261
351,within_an_hour,90.0,1,1,1,1,1,1,0,1,1,2626
352,within_an_hour,100.0,0,1,1,1,1,1,1,1,3,2626
353,within_an_hour,100.0,0,1,0,1,1,1,1,1,2,2623
354,within_a_day,67.0,0,1,1,1,1,1,0,1,1,2760
355,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2622
356,within_an_hour,100.0,0,1,0,1,1,1,1,1,6,2670
357,within_a_day,100.0,1,1,1,1,1,1,1,1,5,2731
358,within_an_hour,97.0,0,1,0,1,1,1,0,1,9,2891
359,within_an_hour,100.0,0,1,0,1,1,1,0,1,9,2620
360,within_a_day,100.0,0,1,0,1,1,1,1,0,2,2620
361,within_a_day,100.0,0,1,1,1,1,1,0,1,3,2709
362,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2617
363,,,0,1,0,1,1,1,0,0,1,2622
364,within_a_few_hours,100.0,1,1,0,1,1,1,1,0,1,2616
365,within_a_few_hours,100.0,0,1,1,1,1,1,1,1,2,2615
366,within_a_few_hours,93.0,0,1,1,1,1,1,0,1,2,2615
367,within_a_day,100.0,1,1,1,1,1,1,1,1,5,2731
368,within_an_hour,100.0,1,1,1,1,1,1,0,1,9,3261
369,within_an_hour,100.0,1,1,0,1,1,1,1,0,6,3528
370,within_an_hour,80.0,0,1,1,1,1,1,0,1,5,2612
371,within_an_hour,100.0,1,1,0,0,1,1,1,1,3,2609
372,,,0,1,1,1,1,1,1,1,1,2609
373,within_a_day,90.0,0,1,1,1,1,1,0,1,1,2607
374,within_a_few_hours,100.0,1,1,0,1,1,1,0,1,1,2607
375,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,2,2602
376,within_an_hour,90.0,0,1,1,1,1,1,1,1,2,3151
377,within_an_hour,100.0,0,1,0,1,1,1,0,1,2,2598
379,within_an_hour,100.0,1,1,1,1,1,1,0,1,2,2598
380,within_an_hour,96.0,1,1,0,1,1,1,1,0,3,2598
381,within_an_hour,100.0,1,1,1,1,1,1,1,1,3,2597
382,within_an_hour,100.0,0,1,1,1,1,1,1,1,4,2597
383,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2596
384,within_an_hour,90.0,0,1,1,1,1,1,0,1,3,2595
385,a_few_days_or_more,0.0,0,1,1,1,1,1,0,1,1,2997
386,within_an_hour,100.0,1,1,1,1,1,1,0,1,2,2598
387,within_an_hour,90.0,0,1,1,1,1,1,0,1,3,2595
388,,,0,1,1,1,1,1,1,1,1,2802
389,,,0,1,0,1,1,1,1,0,1,2589
390,within_a_day,90.0,0,1,0,1,1,1,0,1,1,2589
391,within_an_hour,100.0,0,1,1,1,1,1,1,1,4,2597
392,within_an_hour,100.0,1,1,0,1,1,1,0,1,1,2588
393,within_an_hour,90.0,0,1,1,1,1,1,1,1,1,2608
394,within_an_hour,93.0,0,1,0,1,1,1,0,1,5,3484
395,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2594
396,within_an_hour,96.0,1,1,0,1,1,1,1,0,3,2598
397,within_an_hour,96.0,1,1,0,1,1,1,1,0,3,2598
398,,,0,1,1,1,1,1,0,1,1,2598
399,within_a_few_hours,100.0,0,1,1,1,1,1,1,1,1,2701
400,within_an_hour,100.0,0,1,0,1,1,1,0,1,1,2582
401,within_an_hour,100.0,1,1,0,1,1,1,0,0,1,2782
402,a_few_days_or_more,43.0,0,1,1,1,1,1,0,1,2,2580
403,within_an_hour,100.0,1,1,1,1,1,1,0,1,5,2580
404,within_an_hour,93.0,0,1,0,1,1,1,0,1,5,3484
405,,,0,1,0,1,1,1,1,0,1,2579
406,within_an_hour,100.0,0,1,1,1,1,1,1,1,1,2580
407,within_an_hour,91.0,0,1,1,1,1,1,0,1,2,2657
408,within_an_hour,91.0,0,1,1,1,1,1,0,1,2,2657
409,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,2601
410,within_an_hour,100.0,1,1,1,1,1,1,0,1,3,3164
411,,,0,0,0,0,1,1,0,0,1,2570
412,within_an_hour,100.0,0,1,1,1,0,1,0,1,2,2894
413,within_an_hour,100.0,1,1,1,1,1,1,1,1,4,2787
414,within_a_few_hours,100.0,0,1,0,1,1,1,0,1,1,2568
415,within_a_few_hours,100.0,1,1,0,1,1,1,0,1,1,2667
416,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,2,2762
417,within_an_hour,100.0,0,1,1,1,1,1,1,1,10,2791
418,within_a_few_hours,100.0,0,1,0,1,1,1,0,1,2,2594
419,within_an_hour,100.0,0,1,0,1,1,1,0,1,31,3160
420,,,0,1,1,1,1,1,0,1,3,2562
421,within_a_day,70.0,0,1,1,1,1,1,1,1,1,3026
422,within_an_hour,100.0,1,1,1,1,1,1,0,1,1,2570
423,within_a_few_hours,100.0,1,1,1,1,1,1,0,1,1,2560
424,within_a_few_hours,96.0,0,1,1,1,1,1,1,1,7,3105
